,st,st binned,gender,education,income,policy type,vehicle class,customer lifetime value,monthly premium auto,number of open complaints,total claim amount
1151,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1152,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1153,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1154,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1155,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1156,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1157,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1158,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1159,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1160,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1161,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1162,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1163,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1164,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1165,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1166,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1167,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1168,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1169,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1170,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1171,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1172,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1173,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1174,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1175,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1176,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1177,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1178,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1179,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1180,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1181,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1182,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1183,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1184,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1185,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1186,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1187,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1188,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1189,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1190,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1191,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1192,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1193,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1194,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1195,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1196,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1197,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1198,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1199,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1200,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1201,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1202,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1203,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1204,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1205,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1206,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1207,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1208,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1209,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1210,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1211,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1212,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1213,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1214,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1215,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1216,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1217,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1218,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1219,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1220,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1221,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1222,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1223,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1224,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1225,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1226,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1227,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1228,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1229,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1230,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1231,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1232,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1233,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1234,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1235,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1236,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1237,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1238,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1239,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1240,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1241,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1242,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1243,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1244,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1245,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1246,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1247,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1248,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1249,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1250,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1251,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1252,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1253,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1254,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1255,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1256,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1257,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1258,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1259,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1260,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1261,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1262,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1263,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1264,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1265,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1266,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1267,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1268,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1269,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1270,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1271,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1272,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1273,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1274,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1275,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1276,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1277,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1278,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1279,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1280,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1281,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1282,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1283,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1284,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1285,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1286,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1287,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1288,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1289,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1290,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1291,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1292,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1293,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1294,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1295,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1296,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1297,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1298,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1299,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1300,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1301,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1302,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1303,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1304,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1305,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1306,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1307,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1308,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1309,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1310,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1311,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1312,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1313,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1314,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1315,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1316,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1317,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1318,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1319,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1320,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1321,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1322,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1323,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1324,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1325,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1326,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1327,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1328,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1329,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1330,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1331,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1332,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1333,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1334,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1335,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1336,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1337,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1338,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1339,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1340,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1341,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1342,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1343,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1344,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1345,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1346,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1347,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1348,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1349,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1350,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1351,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1352,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1353,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1354,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1355,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1356,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1357,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1358,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1359,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1360,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1361,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1362,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1363,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1364,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1365,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1366,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1367,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1368,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1369,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1370,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1371,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1372,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1373,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1374,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1375,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1376,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1377,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1378,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1379,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1380,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1381,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1382,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1383,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1384,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1385,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1386,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1387,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1388,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1389,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1390,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1391,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1392,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1393,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1394,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1395,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1396,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1397,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1398,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1399,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1400,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1401,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1402,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1403,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1404,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1405,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1406,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1407,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1408,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1409,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1410,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1411,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1412,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1413,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1414,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1415,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1416,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1417,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1418,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1419,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1420,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1421,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1422,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1423,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1424,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1425,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1426,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1427,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1428,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1429,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1430,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1431,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1432,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1433,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1434,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1435,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1436,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1437,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1438,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1439,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1440,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1441,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1442,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1443,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1444,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1445,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1446,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1447,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1448,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1449,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1450,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1451,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1452,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1453,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1454,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1455,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1456,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1457,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1458,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1459,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1460,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1461,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1462,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1463,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1464,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1465,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
1466,,,,,37828.820291124,,,8028.803803165787,110.3912662799606,0.384,110.3912662799606
